,t,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_7,omega_8,omega_9,omega_10,omega_11,omega_12
68,1573744254.7880433,-0.033977068960666656,0.04707421362400055,0.12976689636707306,-0.11694622784852982,-0.21013176441192627,0.22110411524772644,813.2666625976562,810.9962158203125,804.8741455078125,811.6604614257812,808.3009033203125,813.48681640625,813.001708984375,811.2631225585938,804.6116943359375,811.9161376953125,808.525390625,813.2664184570312
69,1573744254.8003254,-0.03386833146214485,0.046775203198194504,0.12985417246818542,-0.11720054596662521,-0.2101006954908371,0.22090011835098267,813.1849365234375,810.98583984375,804.8527221679688,811.6053466796875,808.2380981445312,813.4518432617188,812.923828125,811.2488403320312,804.5936889648438,811.8577270507812,808.4590454101562,813.2349243164062
70,1573744254.8094537,-0.033902931958436966,0.04684441536664963,0.13008978962898254,-0.11736088991165161,-0.2099398523569107,0.22080792486667633,813.0444946289062,810.9689331054688,804.8190307617188,811.4797973632812,808.1314086914062,813.3819580078125,812.7826538085938,811.2325439453125,804.5585327148438,811.7337036132812,808.353759765625,813.1636962890625
71,1573744254.8199935,-0.033715181052684784,0.04675621911883354,0.12998709082603455,-0.11712771654129028,-0.20997674763202667,0.22097663581371307,812.99609375,811.03173828125,804.8780517578125,811.4443359375,808.1358642578125,813.4117431640625,812.732177734375,811.2973022460938,804.6149291992188,811.7008666992188,808.3609619140625,813.1908569335938
72,1573744254.8298616,-0.03390340879559517,0.04699034243822098,0.13027311861515045,-0.11736449599266052,-0.20978468656539917,0.22084616124629974,813.552734375,811.5921630859375,805.4510498046875,811.9695434570312,808.6978149414062,813.9340209960938,813.2877197265625,811.8588256835938,805.186767578125,812.227294921875,808.9242553710938,813.7117309570312
73,1573744254.8386493,-0.033725183457136154,0.04681316018104553,0.1301162838935852,-0.11721540242433548,-0.20987695455551147,0.22093911468982697,813.5582275390625,811.5803833007812,805.4550170898438,811.9712524414062,808.7149658203125,813.931396484375,813.293212890625,811.8471069335938,805.1908569335938,812.2288208007812,808.94140625,813.7090454101562
74,1573744254.8477323,-0.03362718224525452,0.046683650463819504,0.12972497940063477,-0.11685947328805923,-0.21014286577701569,0.22114643454551697,813.8941650390625,811.9068603515625,805.74365234375,812.3480224609375,809.0262451171875,814.31787109375,813.6296997070312,812.1730346679688,805.4801025390625,812.60498046875,809.2515869140625,814.0966796875
75,1573744254.8574514,-0.033369481563568115,0.04641586169600487,0.1297827512025833,-0.11691894382238388,-0.21010024845600128,0.22109465301036835,814.0075073242188,812.042236328125,805.871337890625,812.486572265625,809.1371459960938,814.4614868164062,813.7431640625,812.3082275390625,805.6077880859375,812.7435302734375,809.3623657226562,814.240478515625
76,1573744254.8678153,-0.0331522673368454,0.04621090739965439,0.13011586666107178,-0.11723260581493378,-0.20985600352287292,0.2209073156118393,813.8955078125,811.9623413085938,805.8524169921875,812.3311767578125,809.0827026367188,814.3062744140625,813.6309814453125,812.228515625,805.5885620117188,812.5885009765625,809.3090209960938,814.0840454101562
77,1573744254.8775797,-0.03363838419318199,0.0466940738260746,0.13039329648017883,-0.11755303293466568,-0.20968666672706604,0.22072634100914001,813.7819213867188,811.7174682617188,805.6578369140625,812.1363525390625,808.9476928710938,814.037841796875,813.5175170898438,811.9835815429688,805.3948974609375,812.3927612304688,809.1736450195312,813.8158569335938
